CATEGORY,NAME,PRICE
"Red Wine","Alamos Malbec (750 mL) (1 x 750 mL)",$17.81
"Red Wine","Beringer Founders' Cabernet Sauvignon (750 mL) (1 x 750 mL)",$21.29
"Red Wine","Cono Sur Cabernet Sauvignon (750 mL) (1 x 750 mL)",$15.14
"Red Wine","Cono Sur Pinot Noir (750 mL) (1 x 750 mL)",$15.14
"Red Wine","Duckhorn Napa Valley Merlot (750 mL) (1 x 750 mL)",$78.76
"Red Wine","Farnese Fantini Primitivo Puglia (750 mL) (1 x 750 mL)",$16.67
"Red Wine","Imagery Pinot Noir (750 mL) (1 x 750 mL)",$23.10
"Red Wine","Santa Julia Malbec (750 mL) (1 x 750 mL)",$16.67
"Red Wine","Santa Rita 120 Cabernet Sauvignon (750 mL) (1 x 750 mL)",$15.19
"Red Wine","Tom Gore Cabernet Sauvignon (750 mL) (1 x 750 mL)",$24.43
"Red Wine","Trivento Reserva Malbec (750 mL) (1 x 750 mL)",$17.19
"Red Wine","19 Crimes Cali Martha's Chardonnay (750 mL) (1 x 750 mL)",$25.48
"Red Wine","Josh Cellars Cabernet Sauvignon (750 mL) (1 x 750 mL)",$21.29
"Rose Wine","La Vieille Ferme Rose (750 mL) (1 x 750 mL)",$15.95
"Rose Wine","Oyster Bay Rose (750 mL) (1 x 750 mL)",$21.48
"Rose Wine","Matua Rose (750 mL) (1 x 750 mL)",$18.24
"Rose Wine","Whitehaven Pinot Noir Rose (750 mL) (1 x 750 mL)",$23.43
"Rose Wine","Villa Teresa Organic Rose (750 ml Bottle)",$20.05
"Rose Wine","La Marca Rose Prosecco (750 mL) (1 x 750 mL)",$22.38
"Rose Wine","Maison No. 9 Rose (750 mL) (1 x 750 mL)",$30.33
"Organic Wine","Cono Sur Organic Cabernet/Carmenere (750 mL) (1 x 750 mL)",$17.48
"Organic Wine","Cono Sur Organic Pinot Noir (750 mL) (1 x 750 mL)",$17.48
"Organic Wine","Lobetia Tempranillo (750 mL) (1 x 750 mL)",$15.19
"Organic Wine","Bonterra Chardonnay (Organic) (750 mL) (1 x 750 mL)",$25.81
"Organic Wine","Bonterra Cabernet Sauvignon (Organic) (750 mL) (1 x 750 mL)",$25.81
"Organic Wine","Bonterra Zinfandel (Organic) (750 mL) (1 x 750 mL)",$25.81
"Sparkling Wine","La Marca Prosecco (375 mL) (1 x 375 mL)",$13.71
"Sparkling Wine","La Marca Prosecco (750 mL) (1 x 750 mL)",$22.38
"Sparkling Wine","Veuve Clicquot Brut (375 mL) (1 x 375 mL)",$41.00
"Sparkling Wine","Veuve Clicquot Brut (750 mL) (1 x 705 mL)",$83.24
"Sparkling Wine","Veuve Clicquot Rose (750 mL) (1 x 750 mL)",$97.10
"Sparkling Wine","Mionetto Prosecco Brut (750 mL) (1 x 750 mL)",$22.00
"Sparkling Wine","Ruffino Prosecco (750 ml Bottle)",$21.81
"Sparkling Wine","Villa Teresa Organic Prosecco (750 mL) (1 x 750 mL)",$20.76
"Sparkling Wine","Henkell Trocken Sekt (375 mL) (1 x 375 mL)",$9.95
"Sparkling Wine","Henkell Trocken Sekt (750 mL) (1 x 750 mL)",$16.67
"Sparkling Wine","Moet & Chandon Brut Imperial (750 mL) (1 x 750 mL)",$72.67
"Sparkling Wine","Moet & Chandon Rose Imperial (750 mL) (1 x 750 mL)",$90.43
"Box Wine","Mission Ridge Premium Dry White (4 L) (1 x 4 L)",$48.57
"Box Wine","Jackson-Triggs Ps Chardonnay (4 L) (1 x 4 L)",$52.90
"Box Wine","Jackson-Triggs Ps Cabernet Sauvignon (4 L) (1 x 4 L)",$52.90
"Box Wine","Peller Family Vineyards Pinot Grigio (4 L) (1 x 4 L)",$52.05
"Box Wine","Jackson-Triggs PS Sauvignon Blanc (4 L) (1 x 4 L)",$52.14
"Pop and Juice","Coca-Cola (2 L) (2 L)",$4.48
"Pop and Juice","Diet Coke (2 L) (2 L)",$4.48
"Pop and Juice","Coke Zero (2 L) (2 L)",$4.48
"Pop and Juice","Sprite (2 L) (2 L )",$4.48
"Pop and Juice","Ginger Ale (2 L) (2 L )",$4.48
"Pop and Juice","Club Soda (2 L) (2 L)",$4.48
"Pop and Juice","Tonic Water (6-cans) (355 mL)",$6.00
"Pop and Juice","Mott's Clamato Blue(1.89 L Bottle)",$7.19
"Pop and Juice","Mott's Clamato Red (1.89 L Bottle)",$7.19
"Pop and Juice","Orange Juice (1 L Bottle)",$4.52
"Pop and Juice","Cranberry Juice (1.89 L Bottle)",$6.71
